"Domain","Name","DistinguishedName"
"YnovDomain.com","Domain Controllers","OU=Domain Controllers,DC=YnovDomain,DC=com"
"YnovDomain.com","ynovGroupe","OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","France","OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Internqtional","OU=Internqtional,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Nord","OU=Nord,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Lille","OU=Lille,OU=Nord,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Rouen","OU=Rouen,OU=Lille,OU=Nord,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","ROUEN","OU=ROUEN,OU=Nord,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Rennes","OU=Rennes,OU=Nord,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Sud","OU=Sud,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Aix","OU=Aix,OU=Sud,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","monpellier","OU=monpellier,OU=Sud,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Nice","OU=Nice,OU=Sud,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Toulouse","OU=Toulouse,OU=Sud,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","EST","OU=EST,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Lyon","OU=Lyon,OU=EST,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Strqsbourg","OU=Strqsbourg,OU=EST,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Ouest","OU=Ouest,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Bordequx","OU=Bordequx,OU=Ouest,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Nantes","OU=Nantes,OU=Ouest,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Rennes","OU=Rennes,OU=Ouest,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Paris","OU=Paris,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Paris Est","OU=Paris Est,OU=Paris,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Paris Ouest","OU=Paris Ouest,OU=Paris,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Casablanca","OU=Casablanca,OU=Internqtional,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Lille,OU=Nord,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=ROUEN,OU=Nord,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Rennes,OU=Nord,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Aix,OU=Sud,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
"YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=monpellier,OU=Sud,OU=France,OU=ynovGroupe,DC=YnovDomain,DC=com"
