"Domain","Name","GroupScope","DistinguishedName"
"ynov.local","Administrateurs","DomainLocal","CN=Administrateurs,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Utilisateurs","DomainLocal","CN=Utilisateurs,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Invit?s","DomainLocal","CN=Invit?s,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Op?rateurs d?impression","DomainLocal","CN=Op?rateurs d?impression,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Op?rateurs de sauvegarde","DomainLocal","CN=Op?rateurs de sauvegarde,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Duplicateurs","DomainLocal","CN=Duplicateurs,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Utilisateurs du Bureau ? distance","DomainLocal","CN=Utilisateurs du Bureau ? distance,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Op?rateurs de configuration r?seau","DomainLocal","CN=Op?rateurs de configuration r?seau,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Utilisateurs de l?Analyseur de performances","DomainLocal","CN=Utilisateurs de l?Analyseur de performances,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Utilisateurs du journal de performances","DomainLocal","CN=Utilisateurs du journal de performances,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Utilisateurs du mod?le COM distribu?","DomainLocal","CN=Utilisateurs du mod?le COM distribu?,CN=Builtin,DC=ynov,DC=local"
"ynov.local","IIS_IUSRS","DomainLocal","CN=IIS_IUSRS,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Op?rateurs de chiffrement","DomainLocal","CN=Op?rateurs de chiffrement,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Lecteurs des journaux d??v?nements","DomainLocal","CN=Lecteurs des journaux d??v?nements,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Acc?s DCOM service de certificats","DomainLocal","CN=Acc?s DCOM service de certificats,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Serveurs Acc?s Distant RDS","DomainLocal","CN=Serveurs Acc?s Distant RDS,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Serveurs RDS Endpoint","DomainLocal","CN=Serveurs RDS Endpoint,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Serveurs Gestion RDS","DomainLocal","CN=Serveurs Gestion RDS,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Administrateurs Hyper-V","DomainLocal","CN=Administrateurs Hyper-V,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Op?rateurs d'assistance de contr?le d'acc?s","DomainLocal","CN=Op?rateurs d'assistance de contr?le d'acc?s,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Utilisateurs de gestion ? distance","DomainLocal","CN=Utilisateurs de gestion ? distance,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Storage Replica Administrators","DomainLocal","CN=Storage Replica Administrators,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Ordinateurs du domaine","Global","CN=Ordinateurs du domaine,CN=Users,DC=ynov,DC=local"
"ynov.local","Contr?leurs de domaine","Global","CN=Contr?leurs de domaine,CN=Users,DC=ynov,DC=local"
"ynov.local","Administrateurs du sch?ma","Universal","CN=Administrateurs du sch?ma,CN=Users,DC=ynov,DC=local"
"ynov.local","Administrateurs de l?entreprise","Universal","CN=Administrateurs de l?entreprise,CN=Users,DC=ynov,DC=local"
"ynov.local","?diteurs de certificats","DomainLocal","CN=?diteurs de certificats,CN=Users,DC=ynov,DC=local"
"ynov.local","Admins du domaine","Global","CN=Admins du domaine,CN=Users,DC=ynov,DC=local"
"ynov.local","Utilisateurs du domaine","Global","CN=Utilisateurs du domaine,CN=Users,DC=ynov,DC=local"
"ynov.local","Invit?s du domaine","Global","CN=Invit?s du domaine,CN=Users,DC=ynov,DC=local"
"ynov.local","Propri?taires cr?ateurs de la strat?gie de groupe","Global","CN=Propri?taires cr?ateurs de la strat?gie de groupe,CN=Users,DC=ynov,DC=local"
"ynov.local","Serveurs RAS et IAS","DomainLocal","CN=Serveurs RAS et IAS,CN=Users,DC=ynov,DC=local"
"ynov.local","Op?rateurs de serveur","DomainLocal","CN=Op?rateurs de serveur,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Op?rateurs de compte","DomainLocal","CN=Op?rateurs de compte,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Acc?s compatible pr?-Windows 2000","DomainLocal","CN=Acc?s compatible pr?-Windows 2000,CN=Builtin,DC=ynov,DC=local"
"ynov.local","G?n?rateurs d?approbations de for?t entrante","DomainLocal","CN=G?n?rateurs d?approbations de for?t entrante,CN=Builtin,DC=ynov,DC=local"
"ynov.local","Groupe d?acc?s d?autorisation Windows","DomainLocal","CN=Groupe d?acc?s d?autorisation Windows,CN=Builtin,DC=ynov,DC=local"
