"Domain","Name","DistinguishedName"
"ynov.local","Domain Controllers","OU=Domain Controllers,DC=ynov,DC=local"
"ynov.local","ynovGroup","OU=ynovGroup,DC=ynov,DC=local"
"ynov.local","france","OU=france,OU=ynovGroup,DC=ynov,DC=local"
"ynov.local","internationale","OU=internationale,OU=ynovGroup,DC=ynov,DC=local"
"ynov.local","ynovDomain","OU=ynovDomain,DC=ynov,DC=local"
"ynov.local","ynovGroup","OU=ynovGroup,OU=ynovDomain,DC=ynov,DC=local"
"ynov.local","France","OU=France,OU=ynovGroup,OU=ynovDomain,DC=ynov,DC=local"
"ynov.local","Nord","OU=Nord,OU=France,OU=ynovGroup,OU=ynovDomain,DC=ynov,DC=local"
"ynov.local","Lille","OU=Lille,OU=Nord,OU=France,OU=ynovGroup,OU=ynovDomain,DC=ynov,DC=local"
"ynov.local","Utilisateurs","OU=Utilisateurs,OU=Lille,OU=Nord,OU=France,OU=ynovGroup,OU=ynovDomain,DC=ynov,DC=local"
"ynov.local","Ordinateurs","OU=Ordinateurs,OU=Lille,OU=Nord,OU=France,OU=ynovGroup,OU=ynovDomain,DC=ynov,DC=local"
"ynov.local","Rouen","OU=Rouen,OU=Nord,OU=France,OU=ynovGroup,OU=ynovDomain,DC=ynov,DC=local"
"ynov.local","Utilisateurs","OU=Utilisateurs,OU=Rouen,OU=Nord,OU=France,OU=ynovGroup,OU=ynovDomain,DC=ynov,DC=local"
"ynov.local","Ordinateurs","OU=Ordinateurs,OU=Rouen,OU=Nord,OU=France,OU=ynovGroup,OU=ynovDomain,DC=ynov,DC=local"
"ynov.local","Rennes","OU=Rennes,OU=Nord,OU=France,OU=ynovGroup,OU=ynovDomain,DC=ynov,DC=local"
"ynov.local","Utilisateurs","OU=Utilisateurs,OU=Rennes,OU=Nord,OU=France,OU=ynovGroup,OU=ynovDomain,DC=ynov,DC=local"
"ynov.local","Ordinateurs","OU=Ordinateurs,OU=Rennes,OU=Nord,OU=France,OU=ynovGroup,OU=ynovDomain,DC=ynov,DC=local"
"ynov.local","Sud","OU=Sud,OU=France,OU=ynovGroup,OU=ynovDomain,DC=ynov,DC=local"
"ynov.local","Aix-en-Provence","OU=Aix-en-Provence,OU=Sud,OU=France,OU=ynovGroup,OU=ynovDomain,DC=ynov,DC=local"
"ynov.local","Utilisateurs","OU=Utilisateurs,OU=Aix-en-Provence,OU=Sud,OU=France,OU=ynovGroup,OU=ynovDomain,DC=ynov,DC=local"
"ynov.local","Ordinateurs","OU=Ordinateurs,OU=Aix-en-Provence,OU=Sud,OU=France,OU=ynovGroup,OU=ynovDomain,DC=ynov,DC=local"
"ynov.local","Monpellier","OU=Monpellier,OU=Sud,OU=France,OU=ynovGroup,OU=ynovDomain,DC=ynov,DC=local"
"ynov.local","Utilisateurs","OU=Utilisateurs,OU=Monpellier,OU=Sud,OU=France,OU=ynovGroup,OU=ynovDomain,DC=ynov,DC=local"
