"Domain","Name","GroupScope","DistinguishedName"
"corp.YnovDomain.com","Administrateurs","DomainLocal","CN=Administrateurs,CN=Builtin,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Utilisateurs","DomainLocal","CN=Utilisateurs,CN=Builtin,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Invit?s","DomainLocal","CN=Invit?s,CN=Builtin,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Op?rateurs d?impression","DomainLocal","CN=Op?rateurs d?impression,CN=Builtin,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Op?rateurs de sauvegarde","DomainLocal","CN=Op?rateurs de sauvegarde,CN=Builtin,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Duplicateurs","DomainLocal","CN=Duplicateurs,CN=Builtin,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Utilisateurs du Bureau ? distance","DomainLocal","CN=Utilisateurs du Bureau ? distance,CN=Builtin,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Op?rateurs de configuration r?seau","DomainLocal","CN=Op?rateurs de configuration r?seau,CN=Builtin,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Utilisateurs de l?Analyseur de performances","DomainLocal","CN=Utilisateurs de l?Analyseur de performances,CN=Builtin,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Utilisateurs du journal de performances","DomainLocal","CN=Utilisateurs du journal de performances,CN=Builtin,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Utilisateurs du mod?le COM distribu?","DomainLocal","CN=Utilisateurs du mod?le COM distribu?,CN=Builtin,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","IIS_IUSRS","DomainLocal","CN=IIS_IUSRS,CN=Builtin,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Op?rateurs de chiffrement","DomainLocal","CN=Op?rateurs de chiffrement,CN=Builtin,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Lecteurs des journaux d??v?nements","DomainLocal","CN=Lecteurs des journaux d??v?nements,CN=Builtin,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Acc?s DCOM service de certificats","DomainLocal","CN=Acc?s DCOM service de certificats,CN=Builtin,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Serveurs Acc?s Distant RDS","DomainLocal","CN=Serveurs Acc?s Distant RDS,CN=Builtin,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Serveurs RDS Endpoint","DomainLocal","CN=Serveurs RDS Endpoint,CN=Builtin,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Serveurs Gestion RDS","DomainLocal","CN=Serveurs Gestion RDS,CN=Builtin,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Administrateurs Hyper-V","DomainLocal","CN=Administrateurs Hyper-V,CN=Builtin,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Op?rateurs d'assistance de contr?le d'acc?s","DomainLocal","CN=Op?rateurs d'assistance de contr?le d'acc?s,CN=Builtin,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Utilisateurs de gestion ? distance","DomainLocal","CN=Utilisateurs de gestion ? distance,CN=Builtin,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Storage Replica Administrators","DomainLocal","CN=Storage Replica Administrators,CN=Builtin,DC=corp,DC=YnovDomain,DC=com"
