"Domain","Name","DistinguishedName"
"corp.YnovDomain.com","Domain Controllers","OU=Domain Controllers,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","ynovGroup","OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","France","OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","International","OU=International,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Nord","OU=Nord,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Lille","OU=Lille,OU=Nord,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Rouen","OU=Rouen,OU=Nord,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Sud","OU=Sud,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Aix-en-Provence","OU=Aix-en-Provence,OU=Sud,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Montpellier","OU=Montpellier,OU=Sud,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Nice-Sophia","OU=Nice-Sophia,OU=Sud,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Toulouse","OU=Toulouse,OU=Sud,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Est","OU=Est,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Lyon","OU=Lyon,OU=Est,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Strasbourg","OU=Strasbourg,OU=Est,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Ouest","OU=Ouest,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Bordeaux","OU=Bordeaux,OU=Ouest,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Nantes","OU=Nantes,OU=Ouest,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Rennes","OU=Rennes,OU=Ouest,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Paris","OU=Paris,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Paris-Est","OU=Paris-Est,OU=Paris,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Paris-Ouest","OU=Paris-Ouest,OU=Paris,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Casablanca","OU=Casablanca,OU=International,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Casablanca,OU=International,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Toulouse,OU=Sud,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Nice-Sophia,OU=Sud,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Montpellier,OU=Sud,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Aix-en-Provence,OU=Sud,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Paris-Ouest,OU=Paris,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Paris-Est,OU=Paris,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Rennes,OU=Ouest,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Bordeaux,OU=Ouest,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Nantes,OU=Ouest,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Rouen,OU=Nord,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Lille,OU=Nord,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Strasbourg,OU=Est,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Lyon,OU=Est,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Ordinateurs","OU=Ordinateurs,OU=Lyon,OU=Est,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
"corp.YnovDomain.com","Ordinateurs","OU=Ordinateurs,OU=Strasbourg,OU=Est,OU=France,OU=ynovGroup,DC=corp,DC=YnovDomain,DC=com"
