"Domain","Name","DistinguishedName"
"YnovNL.com","Domain Controllers","OU=Domain Controllers,DC=YnovNL,DC=com"
"YnovNL.com","ynovGroup","OU=ynovGroup,DC=YnovNL,DC=com"
"YnovNL.com","france","OU=france,OU=ynovGroup,DC=YnovNL,DC=com"
"YnovNL.com","internantional","OU=internantional,OU=ynovGroup,DC=YnovNL,DC=com"
"YnovNL.com","Nord","OU=Nord,OU=france,OU=ynovGroup,DC=YnovNL,DC=com"
"YnovNL.com","Sud","OU=Sud,OU=france,OU=ynovGroup,DC=YnovNL,DC=com"
"YnovNL.com","Est","OU=Est,OU=france,OU=ynovGroup,DC=YnovNL,DC=com"
"YnovNL.com","Ouest","OU=Ouest,OU=france,OU=ynovGroup,DC=YnovNL,DC=com"
"YnovNL.com","Paris","OU=Paris,OU=france,OU=ynovGroup,DC=YnovNL,DC=com"
"YnovNL.com","Lille","OU=Lille,OU=Nord,OU=france,OU=ynovGroup,DC=YnovNL,DC=com"
"YnovNL.com","Rouen","OU=Rouen,OU=Nord,OU=france,OU=ynovGroup,DC=YnovNL,DC=com"
"YnovNL.com","Aix-en-Provence","OU=Aix-en-Provence,OU=Sud,OU=france,OU=ynovGroup,DC=YnovNL,DC=com"
"YnovNL.com","Montpellier","OU=Montpellier,OU=Sud,OU=france,OU=ynovGroup,DC=YnovNL,DC=com"
"YnovNL.com","Nice-Sophia","OU=Nice-Sophia,OU=Sud,OU=france,OU=ynovGroup,DC=YnovNL,DC=com"
"YnovNL.com","Toulouse","OU=Toulouse,OU=Sud,OU=france,OU=ynovGroup,DC=YnovNL,DC=com"
"YnovNL.com","Lyon","OU=Lyon,OU=Est,OU=france,OU=ynovGroup,DC=YnovNL,DC=com"
"YnovNL.com","Strasbourg","OU=Strasbourg,OU=Est,OU=france,OU=ynovGroup,DC=YnovNL,DC=com"
"YnovNL.com","Bordeaux","OU=Bordeaux,OU=Ouest,OU=france,OU=ynovGroup,DC=YnovNL,DC=com"
"YnovNL.com","Nantes","OU=Nantes,OU=Ouest,OU=france,OU=ynovGroup,DC=YnovNL,DC=com"
"YnovNL.com","Rennes","OU=Rennes,OU=Ouest,OU=france,OU=ynovGroup,DC=YnovNL,DC=com"
"YnovNL.com","Paris-Est","OU=Paris-Est,OU=Paris,OU=france,OU=ynovGroup,DC=YnovNL,DC=com"
"YnovNL.com","Paris-Ouest","OU=Paris-Ouest,OU=Paris,OU=france,OU=ynovGroup,DC=YnovNL,DC=com"
"YnovNL.com","Utilisateurs","OU=Utilisateurs,OU=Lille,OU=Nord,OU=france,OU=ynovGroup,DC=YnovNL,DC=com"
