"Domain","Name","DistinguishedName"
"godwin.com","Domain Controllers","OU=Domain Controllers,DC=godwin,DC=com"
"godwin.com","ynovGroup","OU=ynovGroup,DC=godwin,DC=com"
"godwin.com","France","OU=France,OU=ynovGroup,DC=godwin,DC=com"
"godwin.com","Nord","OU=Nord,OU=France,OU=ynovGroup,DC=godwin,DC=com"
"godwin.com","Sud","OU=Sud,OU=France,OU=ynovGroup,DC=godwin,DC=com"
"godwin.com","Est","OU=Est,OU=France,OU=ynovGroup,DC=godwin,DC=com"
"godwin.com","Ouest","OU=Ouest,OU=France,OU=ynovGroup,DC=godwin,DC=com"
"godwin.com","Lille","OU=Lille,OU=Nord,OU=France,OU=ynovGroup,DC=godwin,DC=com"
"godwin.com","Rouen","OU=Rouen,OU=Nord,OU=France,OU=ynovGroup,DC=godwin,DC=com"
"godwin.com","Aix-en-Provence","OU=Aix-en-Provence,OU=Sud,OU=France,OU=ynovGroup,DC=godwin,DC=com"
"godwin.com","Montpellier","OU=Montpellier,OU=Sud,OU=France,OU=ynovGroup,DC=godwin,DC=com"
"godwin.com","Nice-Sophia","OU=Nice-Sophia,OU=Sud,OU=France,OU=ynovGroup,DC=godwin,DC=com"
"godwin.com","Toulouse","OU=Toulouse,OU=Sud,OU=France,OU=ynovGroup,DC=godwin,DC=com"
"godwin.com","Lyon","OU=Lyon,OU=Est,OU=France,OU=ynovGroup,DC=godwin,DC=com"
"godwin.com","Strasbourg","OU=Strasbourg,OU=Est,OU=France,OU=ynovGroup,DC=godwin,DC=com"
"godwin.com","Bordeaux","OU=Bordeaux,OU=Ouest,OU=France,OU=ynovGroup,DC=godwin,DC=com"
"godwin.com","Nantes","OU=Nantes,OU=Ouest,OU=France,OU=ynovGroup,DC=godwin,DC=com"
"godwin.com","Rennes","OU=Rennes,OU=Ouest,OU=France,OU=ynovGroup,DC=godwin,DC=com"
"godwin.com","Paris","OU=Paris,OU=France,OU=ynovGroup,DC=godwin,DC=com"
