"Domain","Name","DistinguishedName"
"ynovDomaine.com","Domain Controllers","OU=Domain Controllers,DC=ynovDomaine,DC=com"
"ynovDomaine.com","ynovGroup","OU=ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","France","OU=France,OU=ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","International","OU=International,OU=ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","Nord","OU=Nord,OU=France,OU=ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","Sud","OU=Sud,OU=France,OU=ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","Est","OU=Est,OU=France,OU=ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","Ouest","OU=Ouest,OU=France,OU=ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","Paris","OU=Paris,OU=France,OU=ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","Lille","OU=Lille,OU=Nord,OU=France,OU=ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","Utilisateurs","OU=Utilisateurs,OU=Lille,OU=Nord,OU=France,OU=ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","Ordinateurs","OU=Ordinateurs,OU=Lille,OU=Nord,OU=France,OU=ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","Nantes","OU=Nantes,OU=Ouest,OU=France,OU=ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","Rennes","OU=Rennes,OU=Ouest,OU=France,OU=ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","Toulouse","OU=Toulouse,OU=Sud,OU=France,OU=ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","Aix-en-provance","OU=Aix-en-provance,OU=Sud,OU=France,OU=ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","Utilisateurs","OU=Utilisateurs,OU=Rennes,OU=Ouest,OU=France,OU=ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","Ordinateurs","OU=Ordinateurs,OU=Rennes,OU=Ouest,OU=France,OU=ynovGroup,DC=ynovDomaine,DC=com"
"ynovDomaine.com","Rouen","OU=Rouen,OU=Nord,OU=France,OU=ynovGroup,DC=ynovDomaine,DC=com"
