"Domain","Name","DistinguishedName"
"YnovDomain.com","Domain Controllers","OU=Domain Controllers,DC=YnovDomain,DC=com"
"YnovDomain.com","ynovGroup","OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","france","OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Nord","OU=Nord,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Lille","OU=Lille,OU=Nord,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Lille,OU=Nord,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Ordinateurs","OU=Ordinateurs,OU=Lille,OU=Nord,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Rouen","OU=Rouen,OU=Nord,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Rouen,OU=Nord,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Ordinateurs","OU=Ordinateurs,OU=Rouen,OU=Nord,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Rennes","OU=Rennes,OU=Nord,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Rennes,OU=Nord,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Ordinateurs","OU=Ordinateurs,OU=Rennes,OU=Nord,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Sud","OU=Sud,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Aix-en-Provence","OU=Aix-en-Provence,OU=Sud,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Aix-en-Provence,OU=Sud,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Ordinateurs","OU=Ordinateurs,OU=Utilisateurs,OU=Aix-en-Provence,OU=Sud,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Ordinateurs","OU=Ordinateurs,OU=Aix-en-Provence,OU=Sud,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Montpellier","OU=Montpellier,OU=Sud,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Montpellier,OU=Sud,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Ordinateurs","OU=Ordinateurs,OU=Montpellier,OU=Sud,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Nice-Sophia","OU=Nice-Sophia,OU=Sud,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Nice-Sophia,OU=Sud,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Ordinateurs","OU=Ordinateurs,OU=Nice-Sophia,OU=Sud,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Toulouse","OU=Toulouse,OU=Sud,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Toulouse,OU=Sud,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Ordinateurs","OU=Ordinateurs,OU=Toulouse,OU=Sud,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Est","OU=Est,OU=france,OU=ynovGroup,DC=YnovDomain,DC=com"
