"Domain","Name","DistinguishedName"
"YnovDomain.com","Domain Controllers","OU=Domain Controllers,DC=YnovDomain,DC=com"
"YnovDomain.com","YnovGroup","OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","France","OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","International","OU=International,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Nord","OU=Nord,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Sud","OU=Sud,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Est","OU=Est,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Ouest","OU=Ouest,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Paris","OU=Paris,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Casablanca","OU=Casablanca,OU=International,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Lille","OU=Lille,OU=Nord,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Rouen","OU=Rouen,OU=Nord,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Rennes","OU=Rennes,OU=Nord,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Aix-en-Provence","OU=Aix-en-Provence,OU=Sud,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Monpellier","OU=Monpellier,OU=Sud,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Nice-Sophia","OU=Nice-Sophia,OU=Sud,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Toulouse","OU=Toulouse,OU=Sud,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Lyon","OU=Lyon,OU=Est,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Strasbourg","OU=Strasbourg,OU=Est,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Bordeaux","OU=Bordeaux,OU=Ouest,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Nantes","OU=Nantes,OU=Ouest,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Paris-Est","OU=Paris-Est,OU=Paris,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","Paris-Ouest","OU=Paris-Ouest,OU=Paris,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","utilisateurs","OU=utilisateurs,OU=Lyon,OU=Est,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","utilisateurs","OU=utilisateurs,OU=Strasbourg,OU=Est,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","utilisateurs","OU=utilisateurs,OU=Lille,OU=Nord,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","utilisateurs","OU=utilisateurs,OU=Rennes,OU=Nord,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","utilisateurs","OU=utilisateurs,OU=Rouen,OU=Nord,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","utilisateurs","OU=utilisateurs,OU=Bordeaux,OU=Ouest,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
"YnovDomain.com","utilisateurs","OU=utilisateurs,OU=Nantes,OU=Ouest,OU=France,OU=YnovGroup,DC=YnovDomain,DC=com"
