"Domain","Name","GroupScope","DistinguishedName"
"YnovDomain.com","Administrateurs","DomainLocal","CN=Administrateurs,CN=Builtin,DC=YnovDomain,DC=com"
"YnovDomain.com","Utilisateurs","DomainLocal","CN=Utilisateurs,CN=Builtin,DC=YnovDomain,DC=com"
"YnovDomain.com","Invit?s","DomainLocal","CN=Invit?s,CN=Builtin,DC=YnovDomain,DC=com"
"YnovDomain.com","Op?rateurs d?impression","DomainLocal","CN=Op?rateurs d?impression,CN=Builtin,DC=YnovDomain,DC=com"
"YnovDomain.com","Op?rateurs de sauvegarde","DomainLocal","CN=Op?rateurs de sauvegarde,CN=Builtin,DC=YnovDomain,DC=com"
"YnovDomain.com","Duplicateurs","DomainLocal","CN=Duplicateurs,CN=Builtin,DC=YnovDomain,DC=com"
"YnovDomain.com","Utilisateurs du Bureau ? distance","DomainLocal","CN=Utilisateurs du Bureau ? distance,CN=Builtin,DC=YnovDomain,DC=com"
"YnovDomain.com","Op?rateurs de configuration r?seau","DomainLocal","CN=Op?rateurs de configuration r?seau,CN=Builtin,DC=YnovDomain,DC=com"
"YnovDomain.com","Utilisateurs de l?Analyseur de performances","DomainLocal","CN=Utilisateurs de l?Analyseur de performances,CN=Builtin,DC=YnovDomain,DC=com"
"YnovDomain.com","Utilisateurs du journal de performances","DomainLocal","CN=Utilisateurs du journal de performances,CN=Builtin,DC=YnovDomain,DC=com"
"YnovDomain.com","Utilisateurs du mod?le COM distribu?","DomainLocal","CN=Utilisateurs du mod?le COM distribu?,CN=Builtin,DC=YnovDomain,DC=com"
"YnovDomain.com","IIS_IUSRS","DomainLocal","CN=IIS_IUSRS,CN=Builtin,DC=YnovDomain,DC=com"
"YnovDomain.com","Op?rateurs de chiffrement","DomainLocal","CN=Op?rateurs de chiffrement,CN=Builtin,DC=YnovDomain,DC=com"
"YnovDomain.com","Lecteurs des journaux d??v?nements","DomainLocal","CN=Lecteurs des journaux d??v?nements,CN=Builtin,DC=YnovDomain,DC=com"
"YnovDomain.com","Acc?s DCOM service de certificats","DomainLocal","CN=Acc?s DCOM service de certificats,CN=Builtin,DC=YnovDomain,DC=com"
"YnovDomain.com","Serveurs Acc?s Distant RDS","DomainLocal","CN=Serveurs Acc?s Distant RDS,CN=Builtin,DC=YnovDomain,DC=com"
"YnovDomain.com","Serveurs RDS Endpoint","DomainLocal","CN=Serveurs RDS Endpoint,CN=Builtin,DC=YnovDomain,DC=com"
"YnovDomain.com","Serveurs Gestion RDS","DomainLocal","CN=Serveurs Gestion RDS,CN=Builtin,DC=YnovDomain,DC=com"
"YnovDomain.com","Administrateurs Hyper-V","DomainLocal","CN=Administrateurs Hyper-V,CN=Builtin,DC=YnovDomain,DC=com"
"YnovDomain.com","Op?rateurs d'assistance de contr?le d'acc?s","DomainLocal","CN=Op?rateurs d'assistance de contr?le d'acc?s,CN=Builtin,DC=YnovDomain,DC=com"
"YnovDomain.com","Utilisateurs de gestion ? distance","DomainLocal","CN=Utilisateurs de gestion ? distance,CN=Builtin,DC=YnovDomain,DC=com"
"YnovDomain.com","Storage Replica Administrators","DomainLocal","CN=Storage Replica Administrators,CN=Builtin,DC=YnovDomain,DC=com"
"YnovDomain.com","Ordinateurs du domaine","Global","CN=Ordinateurs du domaine,CN=Users,DC=YnovDomain,DC=com"
"YnovDomain.com","Contr?leurs de domaine","Global","CN=Contr?leurs de domaine,CN=Users,DC=YnovDomain,DC=com"
"YnovDomain.com","Administrateurs du sch?ma","Universal","CN=Administrateurs du sch?ma,CN=Users,DC=YnovDomain,DC=com"
"YnovDomain.com","Administrateurs de l?entreprise","Universal","CN=Administrateurs de l?entreprise,CN=Users,DC=YnovDomain,DC=com"
"YnovDomain.com","?diteurs de certificats","DomainLocal","CN=?diteurs de certificats,CN=Users,DC=YnovDomain,DC=com"
