"Domain","Name","DistinguishedName"
"ynovDomain.com","Domain Controllers","OU=Domain Controllers,DC=ynovDomain,DC=com"
"ynovDomain.com","ynovGroup","OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","France","OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","International","OU=International,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Casablanca","OU=Casablanca,OU=International,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Casablanca,OU=International,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Ordinateurs","OU=Ordinateurs,OU=Casablanca,OU=International,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Nord","OU=Nord,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Sud","OU=Sud,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Est","OU=Est,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Ouest","OU=Ouest,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Paris","OU=Paris,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Lille","OU=Lille,OU=Nord,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Lille,OU=Nord,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Ordinateurs","OU=Ordinateurs,OU=Lille,OU=Nord,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Rouen","OU=Rouen,OU=Nord,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Rouen,OU=Nord,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Ordinateurs","OU=Ordinateurs,OU=Rouen,OU=Nord,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Aix-en-Provence","OU=Aix-en-Provence,OU=Sud,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Aix-en-Provence,OU=Sud,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Ordinateurs","OU=Ordinateurs,OU=Aix-en-Provence,OU=Sud,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Montpellier","OU=Montpellier,OU=Sud,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Montpellier,OU=Sud,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Ordinateurs","OU=Ordinateurs,OU=Montpellier,OU=Sud,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Nice-Sophia","OU=Nice-Sophia,OU=Sud,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Nice-Sophia,OU=Sud,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Ordinateurs","OU=Ordinateurs,OU=Nice-Sophia,OU=Sud,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Toulouse","OU=Toulouse,OU=Sud,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Utilisateurs","OU=Utilisateurs,OU=Toulouse,OU=Sud,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
