"Domain","Name","GroupScope","DistinguishedName"
"ynovDomain.com","Administrators","DomainLocal","CN=Administrators,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Users","DomainLocal","CN=Users,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Guests","DomainLocal","CN=Guests,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Print Operators","DomainLocal","CN=Print Operators,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Backup Operators","DomainLocal","CN=Backup Operators,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Replicator","DomainLocal","CN=Replicator,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Remote Desktop Users","DomainLocal","CN=Remote Desktop Users,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Network Configuration Operators","DomainLocal","CN=Network Configuration Operators,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Performance Monitor Users","DomainLocal","CN=Performance Monitor Users,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Performance Log Users","DomainLocal","CN=Performance Log Users,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Distributed COM Users","DomainLocal","CN=Distributed COM Users,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","IIS_IUSRS","DomainLocal","CN=IIS_IUSRS,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Cryptographic Operators","DomainLocal","CN=Cryptographic Operators,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Event Log Readers","DomainLocal","CN=Event Log Readers,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Certificate Service DCOM Access","DomainLocal","CN=Certificate Service DCOM Access,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","RDS Remote Access Servers","DomainLocal","CN=RDS Remote Access Servers,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","RDS Endpoint Servers","DomainLocal","CN=RDS Endpoint Servers,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","RDS Management Servers","DomainLocal","CN=RDS Management Servers,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Hyper-V Administrators","DomainLocal","CN=Hyper-V Administrators,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Access Control Assistance Operators","DomainLocal","CN=Access Control Assistance Operators,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Remote Management Users","DomainLocal","CN=Remote Management Users,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Storage Replica Administrators","DomainLocal","CN=Storage Replica Administrators,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Domain Computers","Global","CN=Domain Computers,CN=Users,DC=ynovDomain,DC=com"
"ynovDomain.com","Domain Controllers","Global","CN=Domain Controllers,CN=Users,DC=ynovDomain,DC=com"
"ynovDomain.com","Schema Admins","Universal","CN=Schema Admins,CN=Users,DC=ynovDomain,DC=com"
"ynovDomain.com","Enterprise Admins","Universal","CN=Enterprise Admins,CN=Users,DC=ynovDomain,DC=com"
"ynovDomain.com","Cert Publishers","DomainLocal","CN=Cert Publishers,CN=Users,DC=ynovDomain,DC=com"
"ynovDomain.com","Domain Admins","Global","CN=Domain Admins,CN=Users,DC=ynovDomain,DC=com"
"ynovDomain.com","Domain Users","Global","CN=Domain Users,CN=Users,DC=ynovDomain,DC=com"
"ynovDomain.com","Domain Guests","Global","CN=Domain Guests,CN=Users,DC=ynovDomain,DC=com"
"ynovDomain.com","Group Policy Creator Owners","Global","CN=Group Policy Creator Owners,CN=Users,DC=ynovDomain,DC=com"
"ynovDomain.com","RAS and IAS Servers","DomainLocal","CN=RAS and IAS Servers,CN=Users,DC=ynovDomain,DC=com"
"ynovDomain.com","Server Operators","DomainLocal","CN=Server Operators,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Account Operators","DomainLocal","CN=Account Operators,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Pre-Windows 2000 Compatible Access","DomainLocal","CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Incoming Forest Trust Builders","DomainLocal","CN=Incoming Forest Trust Builders,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Windows Authorization Access Group","DomainLocal","CN=Windows Authorization Access Group,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Terminal Server License Servers","DomainLocal","CN=Terminal Server License Servers,CN=Builtin,DC=ynovDomain,DC=com"
"ynovDomain.com","Allowed RODC Password Replication Group","DomainLocal","CN=Allowed RODC Password Replication Group,CN=Users,DC=ynovDomain,DC=com"
"ynovDomain.com","Denied RODC Password Replication Group","DomainLocal","CN=Denied RODC Password Replication Group,CN=Users,DC=ynovDomain,DC=com"
"ynovDomain.com","Read-only Domain Controllers","Global","CN=Read-only Domain Controllers,CN=Users,DC=ynovDomain,DC=com"
"ynovDomain.com","Enterprise Read-only Domain Controllers","Universal","CN=Enterprise Read-only Domain Controllers,CN=Users,DC=ynovDomain,DC=com"
"ynovDomain.com","Cloneable Domain Controllers","Global","CN=Cloneable Domain Controllers,CN=Users,DC=ynovDomain,DC=com"
"ynovDomain.com","Protected Users","Global","CN=Protected Users,CN=Users,DC=ynovDomain,DC=com"
"ynovDomain.com","Key Admins","Global","CN=Key Admins,CN=Users,DC=ynovDomain,DC=com"
"ynovDomain.com","Enterprise Key Admins","Universal","CN=Enterprise Key Admins,CN=Users,DC=ynovDomain,DC=com"
"ynovDomain.com","DnsAdmins","DomainLocal","CN=DnsAdmins,CN=Users,DC=ynovDomain,DC=com"
"ynovDomain.com","DnsUpdateProxy","Global","CN=DnsUpdateProxy,CN=Users,DC=ynovDomain,DC=com"
"ynovDomain.com","GRP_ServiceSalle","Global","CN=GRP_ServiceSalle,OU=ps_YnovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","GRP_ServiceSecurite","Global","CN=GRP_ServiceSecurite,OU=ps_YnovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","GRP_Comptabilite","Global","CN=GRP_Comptabilite,OU=ps_YnovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","GRP_Communication","Global","CN=GRP_Communication,OU=ps_YnovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","GRP_Direction","Global","CN=GRP_Direction,OU=ps_YnovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","GRP_ServiceEnseignant","Global","CN=GRP_ServiceEnseignant,OU=ps_YnovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","GRP_Commercial","Global","CN=GRP_Commercial,OU=ps_YnovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","GRP_ServiceSocial","Global","CN=GRP_ServiceSocial,OU=ps_YnovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","GRP_Refectoire","Global","CN=GRP_Refectoire,OU=ps_YnovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","GRP_Technique","Global","CN=GRP_Technique,OU=ps_YnovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Service Enseignant","Global","CN=Service Enseignant,OU=Utilisateurs,OU=Casablanca,OU=International,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Commercial","Global","CN=Commercial,OU=Utilisateurs,OU=Toulouse,OU=Sud,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Service sport","Global","CN=Service sport,OU=Utilisateurs,OU=Montpellier,OU=Sud,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Communication","Global","CN=Communication,OU=Utilisateurs,OU=Aix-en-Provence,OU=Sud,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Technique","Global","CN=Technique,OU=Utilisateurs,OU=Nantes,OU=Ouest,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Service social","Global","CN=Service social,OU=Utilisateurs,OU=Lille,OU=Nord,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Comptabilit?","Global","CN=Comptabilit?,OU=Utilisateurs,OU=Lyon,OU=Est,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
"ynovDomain.com","Direction","Global","CN=Direction,OU=Utilisateurs,OU=Paris-Est,OU=Paris,OU=France,OU=ynovGroup,DC=ynovDomain,DC=com"
