"Domain","Name","GroupScope","DistinguishedName"
"Ynov.Domain","Administrateurs","DomainLocal","CN=Administrateurs,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","Utilisateurs","DomainLocal","CN=Utilisateurs,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","Invit?s","DomainLocal","CN=Invit?s,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","Op?rateurs d?impression","DomainLocal","CN=Op?rateurs d?impression,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","Op?rateurs de sauvegarde","DomainLocal","CN=Op?rateurs de sauvegarde,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","Duplicateurs","DomainLocal","CN=Duplicateurs,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","Utilisateurs du Bureau ? distance","DomainLocal","CN=Utilisateurs du Bureau ? distance,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","Op?rateurs de configuration r?seau","DomainLocal","CN=Op?rateurs de configuration r?seau,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","Utilisateurs de l?Analyseur de performances","DomainLocal","CN=Utilisateurs de l?Analyseur de performances,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","Utilisateurs du journal de performances","DomainLocal","CN=Utilisateurs du journal de performances,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","Utilisateurs du mod?le COM distribu?","DomainLocal","CN=Utilisateurs du mod?le COM distribu?,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","IIS_IUSRS","DomainLocal","CN=IIS_IUSRS,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","Op?rateurs de chiffrement","DomainLocal","CN=Op?rateurs de chiffrement,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","Lecteurs des journaux d??v?nements","DomainLocal","CN=Lecteurs des journaux d??v?nements,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","Acc?s DCOM service de certificats","DomainLocal","CN=Acc?s DCOM service de certificats,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","Serveurs Acc?s Distant RDS","DomainLocal","CN=Serveurs Acc?s Distant RDS,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","Serveurs RDS Endpoint","DomainLocal","CN=Serveurs RDS Endpoint,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","Serveurs Gestion RDS","DomainLocal","CN=Serveurs Gestion RDS,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","Administrateurs Hyper-V","DomainLocal","CN=Administrateurs Hyper-V,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","Op?rateurs d'assistance de contr?le d'acc?s","DomainLocal","CN=Op?rateurs d'assistance de contr?le d'acc?s,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","Utilisateurs de gestion ? distance","DomainLocal","CN=Utilisateurs de gestion ? distance,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","Storage Replica Administrators","DomainLocal","CN=Storage Replica Administrators,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","Ordinateurs du domaine","Global","CN=Ordinateurs du domaine,CN=Users,DC=Ynov,DC=Domain"
"Ynov.Domain","Contr?leurs de domaine","Global","CN=Contr?leurs de domaine,CN=Users,DC=Ynov,DC=Domain"
"Ynov.Domain","Administrateurs du sch?ma","Universal","CN=Administrateurs du sch?ma,CN=Users,DC=Ynov,DC=Domain"
"Ynov.Domain","Administrateurs de l?entreprise","Universal","CN=Administrateurs de l?entreprise,CN=Users,DC=Ynov,DC=Domain"
"Ynov.Domain","?diteurs de certificats","DomainLocal","CN=?diteurs de certificats,CN=Users,DC=Ynov,DC=Domain"
"Ynov.Domain","Admins du domaine","Global","CN=Admins du domaine,CN=Users,DC=Ynov,DC=Domain"
"Ynov.Domain","Utilisateurs du domaine","Global","CN=Utilisateurs du domaine,CN=Users,DC=Ynov,DC=Domain"
"Ynov.Domain","Invit?s du domaine","Global","CN=Invit?s du domaine,CN=Users,DC=Ynov,DC=Domain"
"Ynov.Domain","Propri?taires cr?ateurs de la strat?gie de groupe","Global","CN=Propri?taires cr?ateurs de la strat?gie de groupe,CN=Users,DC=Ynov,DC=Domain"
"Ynov.Domain","Serveurs RAS et IAS","DomainLocal","CN=Serveurs RAS et IAS,CN=Users,DC=Ynov,DC=Domain"
"Ynov.Domain","Op?rateurs de serveur","DomainLocal","CN=Op?rateurs de serveur,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","Op?rateurs de compte","DomainLocal","CN=Op?rateurs de compte,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","Acc?s compatible pr?-Windows 2000","DomainLocal","CN=Acc?s compatible pr?-Windows 2000,CN=Builtin,DC=Ynov,DC=Domain"
"Ynov.Domain","G?n?rateurs d?approbations de for?t entrante","DomainLocal","CN=G?n?rateurs d?approbations de for?t entrante,CN=Builtin,DC=Ynov,DC=Domain"
