"Domain","Name","GroupScope","DistinguishedName"
"YnovEC.com","Administrateurs","DomainLocal","CN=Administrateurs,CN=Builtin,DC=YnovEC,DC=com"
"YnovEC.com","Utilisateurs","DomainLocal","CN=Utilisateurs,CN=Builtin,DC=YnovEC,DC=com"
"YnovEC.com","Invit?s","DomainLocal","CN=Invit?s,CN=Builtin,DC=YnovEC,DC=com"
"YnovEC.com","Op?rateurs d?impression","DomainLocal","CN=Op?rateurs d?impression,CN=Builtin,DC=YnovEC,DC=com"
"YnovEC.com","Op?rateurs de sauvegarde","DomainLocal","CN=Op?rateurs de sauvegarde,CN=Builtin,DC=YnovEC,DC=com"
"YnovEC.com","Duplicateurs","DomainLocal","CN=Duplicateurs,CN=Builtin,DC=YnovEC,DC=com"
"YnovEC.com","Utilisateurs du Bureau ? distance","DomainLocal","CN=Utilisateurs du Bureau ? distance,CN=Builtin,DC=YnovEC,DC=com"
"YnovEC.com","Op?rateurs de configuration r?seau","DomainLocal","CN=Op?rateurs de configuration r?seau,CN=Builtin,DC=YnovEC,DC=com"
"YnovEC.com","Utilisateurs de l?Analyseur de performances","DomainLocal","CN=Utilisateurs de l?Analyseur de performances,CN=Builtin,DC=YnovEC,DC=com"
"YnovEC.com","Utilisateurs du journal de performances","DomainLocal","CN=Utilisateurs du journal de performances,CN=Builtin,DC=YnovEC,DC=com"
"YnovEC.com","Utilisateurs du mod?le COM distribu?","DomainLocal","CN=Utilisateurs du mod?le COM distribu?,CN=Builtin,DC=YnovEC,DC=com"
"YnovEC.com","IIS_IUSRS","DomainLocal","CN=IIS_IUSRS,CN=Builtin,DC=YnovEC,DC=com"
"YnovEC.com","Op?rateurs de chiffrement","DomainLocal","CN=Op?rateurs de chiffrement,CN=Builtin,DC=YnovEC,DC=com"
"YnovEC.com","Lecteurs des journaux d??v?nements","DomainLocal","CN=Lecteurs des journaux d??v?nements,CN=Builtin,DC=YnovEC,DC=com"
"YnovEC.com","Acc?s DCOM service de certificats","DomainLocal","CN=Acc?s DCOM service de certificats,CN=Builtin,DC=YnovEC,DC=com"
"YnovEC.com","Serveurs Acc?s Distant RDS","DomainLocal","CN=Serveurs Acc?s Distant RDS,CN=Builtin,DC=YnovEC,DC=com"
"YnovEC.com","Serveurs RDS Endpoint","DomainLocal","CN=Serveurs RDS Endpoint,CN=Builtin,DC=YnovEC,DC=com"
"YnovEC.com","Serveurs Gestion RDS","DomainLocal","CN=Serveurs Gestion RDS,CN=Builtin,DC=YnovEC,DC=com"
"YnovEC.com","Administrateurs Hyper-V","DomainLocal","CN=Administrateurs Hyper-V,CN=Builtin,DC=YnovEC,DC=com"
"YnovEC.com","Op?rateurs d'assistance de contr?le d'acc?s","DomainLocal","CN=Op?rateurs d'assistance de contr?le d'acc?s,CN=Builtin,DC=YnovEC,DC=com"
