"Domain","Name","DistinguishedName"
"YnovEC.com","Domain Controllers","OU=Domain Controllers,DC=YnovEC,DC=com"
"YnovEC.com","ynovGroup","OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","france","OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","internantional","OU=internantional,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Nord","OU=Nord,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Sud","OU=Sud,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Est","OU=Est,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Ouest","OU=Ouest,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Paris","OU=Paris,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Lille","OU=Lille,OU=Nord,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Rouen","OU=Rouen,OU=Nord,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Aix-en-Provence","OU=Aix-en-Provence,OU=Sud,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Montpellier","OU=Montpellier,OU=Sud,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Nice-Sophia","OU=Nice-Sophia,OU=Sud,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Toulouse","OU=Toulouse,OU=Sud,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Lyon","OU=Lyon,OU=Est,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Strasbourg","OU=Strasbourg,OU=Est,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Bordeaux","OU=Bordeaux,OU=Ouest,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Nantes","OU=Nantes,OU=Ouest,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Rennes","OU=Rennes,OU=Ouest,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Paris-Est","OU=Paris-Est,OU=Paris,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Paris-Ouest","OU=Paris-Ouest,OU=Paris,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Utilisateurs","OU=Utilisateurs,OU=Lille,OU=Nord,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Utilisateurs","OU=Utilisateurs,OU=Rouen,OU=Nord,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Utilisateurs","OU=Utilisateurs,OU=Aix-en-Provence,OU=Sud,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Utilisateurs","OU=Utilisateurs,OU=Montpellier,OU=Sud,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Utilisateurs","OU=Utilisateurs,OU=Nice-Sophia,OU=Sud,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Utilisateurs","OU=Utilisateurs,OU=Toulouse,OU=Sud,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Utilisateurs","OU=Utilisateurs,OU=Lyon,OU=Est,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Utilisateurs","OU=Utilisateurs,OU=Strasbourg,OU=Est,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Utilisateurs","OU=Utilisateurs,OU=Bordeaux,OU=Ouest,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
"YnovEC.com","Utilisateurs","OU=Utilisateurs,OU=Nantes,OU=Ouest,OU=france,OU=ynovGroup,DC=YnovEC,DC=com"
