"Domain","Name","GroupScope","DistinguishedName"
"YnovNL.com","Administrateurs","DomainLocal","CN=Administrateurs,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","Utilisateurs","DomainLocal","CN=Utilisateurs,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","Invit?s","DomainLocal","CN=Invit?s,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","Op?rateurs d?impression","DomainLocal","CN=Op?rateurs d?impression,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","Op?rateurs de sauvegarde","DomainLocal","CN=Op?rateurs de sauvegarde,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","Duplicateurs","DomainLocal","CN=Duplicateurs,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","Utilisateurs du Bureau ? distance","DomainLocal","CN=Utilisateurs du Bureau ? distance,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","Op?rateurs de configuration r?seau","DomainLocal","CN=Op?rateurs de configuration r?seau,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","Utilisateurs de l?Analyseur de performances","DomainLocal","CN=Utilisateurs de l?Analyseur de performances,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","Utilisateurs du journal de performances","DomainLocal","CN=Utilisateurs du journal de performances,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","Utilisateurs du mod?le COM distribu?","DomainLocal","CN=Utilisateurs du mod?le COM distribu?,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","IIS_IUSRS","DomainLocal","CN=IIS_IUSRS,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","Op?rateurs de chiffrement","DomainLocal","CN=Op?rateurs de chiffrement,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","Lecteurs des journaux d??v?nements","DomainLocal","CN=Lecteurs des journaux d??v?nements,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","Acc?s DCOM service de certificats","DomainLocal","CN=Acc?s DCOM service de certificats,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","Serveurs Acc?s Distant RDS","DomainLocal","CN=Serveurs Acc?s Distant RDS,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","Serveurs RDS Endpoint","DomainLocal","CN=Serveurs RDS Endpoint,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","Serveurs Gestion RDS","DomainLocal","CN=Serveurs Gestion RDS,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","Administrateurs Hyper-V","DomainLocal","CN=Administrateurs Hyper-V,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","Op?rateurs d'assistance de contr?le d'acc?s","DomainLocal","CN=Op?rateurs d'assistance de contr?le d'acc?s,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","Utilisateurs de gestion ? distance","DomainLocal","CN=Utilisateurs de gestion ? distance,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","Storage Replica Administrators","DomainLocal","CN=Storage Replica Administrators,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","Ordinateurs du domaine","Global","CN=Ordinateurs du domaine,CN=Users,DC=YnovNL,DC=com"
"YnovNL.com","Contr?leurs de domaine","Global","CN=Contr?leurs de domaine,CN=Users,DC=YnovNL,DC=com"
"YnovNL.com","Administrateurs du sch?ma","Universal","CN=Administrateurs du sch?ma,CN=Users,DC=YnovNL,DC=com"
"YnovNL.com","Administrateurs de l?entreprise","Universal","CN=Administrateurs de l?entreprise,CN=Users,DC=YnovNL,DC=com"
"YnovNL.com","?diteurs de certificats","DomainLocal","CN=?diteurs de certificats,CN=Users,DC=YnovNL,DC=com"
"YnovNL.com","Admins du domaine","Global","CN=Admins du domaine,CN=Users,DC=YnovNL,DC=com"
"YnovNL.com","Utilisateurs du domaine","Global","CN=Utilisateurs du domaine,CN=Users,DC=YnovNL,DC=com"
"YnovNL.com","Invit?s du domaine","Global","CN=Invit?s du domaine,CN=Users,DC=YnovNL,DC=com"
"YnovNL.com","Propri?taires cr?ateurs de la strat?gie de groupe","Global","CN=Propri?taires cr?ateurs de la strat?gie de groupe,CN=Users,DC=YnovNL,DC=com"
"YnovNL.com","Serveurs RAS et IAS","DomainLocal","CN=Serveurs RAS et IAS,CN=Users,DC=YnovNL,DC=com"
"YnovNL.com","Op?rateurs de serveur","DomainLocal","CN=Op?rateurs de serveur,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","Op?rateurs de compte","DomainLocal","CN=Op?rateurs de compte,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","Acc?s compatible pr?-Windows 2000","DomainLocal","CN=Acc?s compatible pr?-Windows 2000,CN=Builtin,DC=YnovNL,DC=com"
"YnovNL.com","G?n?rateurs d?approbations de for?t entrante","DomainLocal","CN=G?n?rateurs d?approbations de for?t entrante,CN=Builtin,DC=YnovNL,DC=com"
